Data Test;Classe;Iniziali;Genere;WPM;Accuracy
11/12/25;1A;B.G.;M;32;100
11/12/25;1A;B.G.;M;39;96
18/12/25;1A;B.G.;M;40;96
18/12/25;1A;B.G.;M;45;98
18/12/25;1A;B.G.;M;46;94
08/01/26;1A;B.G.;M;49;99
08/01/26;1A;B.G.;M;51;98
15/01/26;1A;B.G.;M;47;99
15/01/26;1A;B.G.;M;51;99
12/02/26;1A;B.G.;M;58;99
12/02/26;1A;B.G.;M;62;98
29/01/26;1A;B.F.;F;28;100
29/01/26;1A;B.F.;F;34;
29/01/26;1A;B.F.;F;25;100
29/01/26;1A;B.F.;F;29;100
11/12/25;1A;B.J.;M;33;99
11/12/25;1A;B.J.;M;34;100
11/12/25;1A;B.J.;M;34;95
16/12/25;1A;B.J.;M;33;97
16/12/25;1A;B.J.;M;36;94
16/12/25;1A;B.J.;M;37;96
16/12/25;1A;B.J.;M;37;94
16/12/25;1A;B.J.;M;35;92
16/12/25;1A;B.J.;M;36;86
18/12/25;1A;B.J.;M;36;94
06/01/26;1A;B.J.;M;37;95
08/01/26;1A;B.J.;M;38;95
08/01/26;1A;B.J.;M;36;95
08/01/26;1A;B.J.;M;37;96
29/01/26;1A;B.J.;M;37;92
12/03/26;1A;B.J.;M;37;90
09/04/26;1A;B.J.;M;37;91
11/12/25;1A;C.A.;F;13;99
11/12/25;1A;C.A.;F;15;99
11/12/25;1A;C.A.;F;15;99
27/11/25;1A;D.P.N.;F;21;99
04/12/25;1A;D.P.N.;F;25;100
11/12/25;1A;D.P.N.;F;24;99
11/12/25;1A;D.P.N.;F;25;100
11/12/25;1A;D.P.N.;F;24;100
18/12/25;1A;D.P.N.;F;27;100
29/01/26;1A;D.P.N.;F;27;100
29/01/26;1A;D.P.N.;F;25;100
29/01/26;1A;D.P.N.;F;25;100
29/01/26;1A;D.P.N.;F;24;100
12/03/26;1A;D.P.N.;F;25;100
12/03/26;1A;D.P.N.;F;27;100
12/03/26;1A;D.P.N.;F;24;100
11/12/25;1A;D.D.;M;15;100
11/12/25;1A;D.D.;M;18;100
11/12/25;1A;D.D.;M;20;100
18/12/25;1A;D.D.;M;21;100
29/01/26;1A;D.D.;M;21;100
11/12/25;1A;I.A.M.;M;19;97
12/12/25;1A;I.A.M.;M;22;99
11/12/25;1A;I.A.M.;M;23;92
27/11/25;1A;L.A.;F;34;97
11/12/25;1A;L.A.;F;34;97
11/12/25;1A;L.A.;F;39;95
11/12/25;1A;L.A.;F;40;92
08/01/26;1A;L.A.;F;38;93
08/01/26;1A;L.A.;F;42;93
29/01/26;1A;L.A.;F;43;95
29/01/26;1A;L.A.;F;41;94
29/01/26;1A;L.A.;F;44;93
12/03/26;1A;L.A.;F;43;91
12/03/26;1A;L.A.;F;44;90
12/03/26;1A;L.A.;F;44;93
19/03/26;1A;L.A.;F;47;95
19/03/26;1A;L.A.;F;46;95
29/01/26;1A;K.M.;F;24;100
29/01/26;1A;K.M.;F;19;100
29/01/26;1A;K.M.;F;25;100
29/01/26;1A;K.M.;F;24;100
29/01/26;1A;K.M.;F;21;100
