Data Test,Classe,Iniziali,Genere,WPM,Accuracy
,1A,B.G.,M,,
,1A,B.J.,M,,
,1A,C.A.,F,,
27/11/2025,1A,D.P.N.,F,21,99
4/12/2025,1A,D.P.N.,F,25,100
,1A,D.D.,M,,
,1A,I.A.M.,M,,
27/11/2025,1A,L.A.,F,34,97
,1A,O.S.,M,,
,1A,P.F.,M,,
,1A,R.A.,M,,
,1A,R.R.,M,,
,1A,S.M.,M,,
27/11/2025,1A,T.G.S.,F,22,100
4/12/2025,1A,T.G.S.,F,25,100
20/11/2025,1A,V.L.,M,23,97
4/12/2025,1A,V.L.,M,30,98
27/11/2025,1A,Z.D.,M,23,
,1A,Z.C.,F,,
,1A,Z.Y.A.,F,,
18/11/2025,1B,A.A.,F,11,97
11/11/2025,1B,B.N.,M,16,99
11/11/2025,1B,B.N.,M,24,100
18/11/2025,1B,B.N.,M,15,100
18/11/2025,1B,B.N.,M,15,100
18/11/2025,1B,B.N.,M,23,100
11/11/2025,1B,C.G.,M,44,99
11/11/2025,1B,C.G.,M,56,99
11/11/2025,1B,C.G.,M,57,100
11/11/2025,1B,C.G.,M,64,100
18/11/2025,1B,C.M.,M,31,
18/11/2025,1B,C.M.,M,32,
18/11/2025,1B,C.M.,M,34,
,1B,C.V.,F,,
11/11/2025,1B,D.L.A.,M,23,100
11/11/2025,1B,D.L.A.,M,21,100
11/11/2025,1B,D.L.A.,M,26,100
18/11/2025,1B,D.L.A.,M,26,100
18/11/2025,1B,D.L.A.,M,26,100
18/11/2025,1B,D.L.A.,M,27,100
11/11/2025,1B,F.P.,F,54,99
11/11/2025,1B,F.P.,F,63,92
11/11/2025,1B,F.P.,F,45,94
18/11/2025,1B,F.P.,F,30,97
18/11/2025,1B,F.P.,F,28,89
18/11/2025,1B,F.P.,F,35,91
18/11/2025,1B,F.P.,F,34,91
11/11/2025,1B,H.T.,M,18,86
18/11/2025,1B,H.T.,M,22,94
18/11/2025,1B,H.T.,M,22,98
18/11/2025,1B,H.T.,M,23,99
,1B,H.L.,F,,
,1B,K.F.,M,,
11/11/2025,1B,M.M.,F,21,100
11/11/2025,1B,M.M.,F,22,100
11/11/2025,1B,M.M.,F,23,93
18/11/2025,1B,M.M.,F,24,92
18/11/2025,1B,M.M.,F,22,85
18/11/2025,1B,M.M.,F,21,87
18/11/2025,1B,S.G.,F,11,99
18/11/2025,1B,S.G.,F,17,100
18/11/2025,1B,S.G.,F,18,100
11/11/2025,1B,S.P.,M,18,100
11/11/2025,1B,S.P.,M,18,99
11/11/2025,1B,S.P.,M,18,100
18/11/2025,1B,S.P.,M,20,100
18/11/2025,1B,S.P.,M,22,100
18/11/2025,1B,S.P.,M,25,100
11/11/2025,1B,U.D.,M,17,100
18/11/2025,1B,U.D.,M,16,
18/11/2025,1B,U.D.,M,20,
18/11/2025,1B,U.D.,M,19,
18/11/2025,1B,V.S.,M,18,93
18/11/2025,1B,V.S.,M,20,101
18/11/2025,1B,V.S.,M,21,104
11/11/2025,1B,V.D.,M,47,99
11/11/2025,1B,V.D.,M,47,99
11/11/2025,1B,V.D.,M,45,98
18/11/2025,1B,V.D.,M,44,99
18/11/2025,1B,V.D.,M,49,100
,1B,Y.K.X.,F,,
11/11/2025,1B,Z.Z.,F,26,100
11/11/2025,1B,Z.Z.,F,29,100
18/11/2025,1B,Z.Z.,F,28,100
18/11/2025,1B,Z.Z.,F,27,100
18/11/2025,1B,Z.Z.,F,29,99
,1C,A.T.,F,,
,1C,A.M.,M,,
,1C,B.G.K.S.,M,,
17/11/2025,1C,D.N.,M,15,95
17/11/2025,1C,D.N.,M,18,97
17/11/2025,1C,D.N.,M,19,90
17/11/2025,1C,D.N.,M,18,91
17/11/2025,1C,G.R.X.,F,18,100
17/11/2025,1C,G.R.X.,F,19,100
17/11/2025,1C,G.R.X.,F,22,100
17/11/2025,1C,I.S.N.,F,,
17/11/2025,1C,L.E.,F,27,100
17/11/2025,1C,L.E.,F,30,99
17/11/2025,1C,L.E.,F,32,93
17/11/2025,1C,M.M.,F,20,100
17/11/2025,1C,M.M.,F,23,100
17/11/2025,1C,M.M.,F,24,100
17/11/2025,1C,M.M.,M,32,96
17/11/2025,1C,M.M.,M,38,98
,1C,M.A.A.,M,,
17/11/2025,1C,P.J.,M,20,100
17/11/2025,1C,P.J.,M,24,100
17/11/2025,1C,P.J.,M,23,99
,1C,P.D.,M,,
17/11/2025,1C,P.C.,F,34,100
,1C,S.L.,M,,
17/11/2025,1C,T.D.,M,18,100
17/11/2025,1C,T.D.,M,25,100
17/11/2025,1C,V.E.,M,15,100
17/11/2025,1C,V.E.,M,14,97
,1D,A.I.,M,,
,1D,C.G.,M,,
,1D,C.G.,M,,
,1D,C.G.P.,M,,
,1D,D.A.,M,,
06/11/2025,1D,D.F.E.,M,40,98
06/11/2025,1D,D.F.E.,M,42,98
06/11/2025,1D,D.F.E.,M,49,99
,1D,F.S.,M,,
06/11/2025,1D,I.S.,F,21,90
06/11/2025,1D,I.S.,F,16,96
06/11/2025,1D,I.S.,F,22,99
06/11/2025,1D,L.L.,F,24,94
